EnchantId,ItemId
3283,35489
3284,35758
3285,35759
3286,35760
3287,35761
3292,36766
3293,36767
3317,37430
3318,37503
3321,38292
3324,34835
3333,38498
3334,38538
3335,38545
3336,38546
3337,38547
3338,38548
3339,38549
3340,38550
3371,39900
3374,39905
3375,39906
3376,39907
3377,39908
3378,39909
3379,39910
3380,39911
3381,39912
3382,39914
3383,39915
3384,39916
3385,39917
3386,39918
3387,39919
3388,39920
3389,39927
3390,39932
3391,39933
3392,39934
3393,39935
3394,39936
3395,39937
3396,39938
3397,39939
3398,39940
3399,39941
3400,39942
3401,39943
3402,39944
3403,39945
3404,39946
3405,39947
3406,39953
3407,39949
3408,39950
3409,39951
3410,39952
3411,39948
3412,39954
3413,39955
3414,39956
3415,39957
3416,39958
3417,39959
3418,39964
3419,39965
3420,39966
3421,39967
3422,39960
3423,39961
3424,39962
3426,39963
3427,39968
3428,39974
3429,39975
3430,39976
3431,39977
3432,39978
3433,39979
3434,39980
3435,39981
3436,39982
3437,39983
3438,39984
3439,39985
3440,39986
3441,39988
3442,39989
3443,39990
3444,39991
3445,39992
3446,39996
3447,39997
3448,39998
3449,39999
3450,40000
3451,40001
3452,40002
3453,40003
3454,40008
3455,40009
3456,40010
3457,40011
3458,40012
3459,40013
3460,40014
3461,40015
3462,40016
3463,40017
3464,40022
3465,40023
3466,40025
3467,40029
3468,40031
3469,40032
3470,40033
3471,40034
3472,40026
3473,40027
3474,40024
3475,40030
3476,40028
3477,40037
3478,40038
3479,40039
3480,40040
3481,40041
3482,40043
3483,40044
3484,40045
3485,40046
3486,40047
3487,40048
3488,40049
3489,40050
3490,40051
3491,40052
3492,40053
3493,40054
3494,40055
3495,40056
3496,40057
3497,40058
3498,40059
3499,40085
3500,40086
3501,40088
3502,40089
3503,40090
3504,40091
3505,40092
3506,40095
3507,40099
3508,40102
3509,40104
3510,40094
3511,40096
3512,40100
3513,40103
3514,40105
3515,40098
3516,40101
3517,40106
3518,40111
3519,40112
3520,40113
3521,40114
3522,40115
3523,40116
3524,40118
3525,40117
3526,40123
3527,40124
3528,40125
3529,40126
3530,40127
3531,40128
3532,40119
3533,40120
3534,40121
3535,40122
3536,40129
3537,40130
3538,40132
3539,40136
3540,40138
3541,40139
3542,40141
3543,40140
3544,40131
3545,40133
3546,40134
3547,40137
3548,40135
3549,40142
3550,40143
3551,40144
3552,40145
3553,40146
3554,40147
3555,40148
3556,40149
3557,40150
3558,40151
3559,40152
3560,40153
3561,40154
3563,40155
3564,40156
3565,40157
3566,40158
3567,40159
3568,40160
3569,40161
3570,40162
3571,40163
3572,40164
3573,40165
3574,40166
3575,40167
3576,40168
3577,40169
3578,40170
3579,40171
3580,40172
3581,40173
3582,40174
3583,40175
3584,40176
3585,40177
3586,40178
3587,40179
3588,40180
3589,40181
3590,40182
3591,40232
3621,41285
3622,41307
3623,41333
3624,41335
3625,41339
3626,41395
3627,41401
3628,41398
3631,41396
3632,41375
3633,41376
3634,41377
3635,41378
3636,41379
3637,41380
3638,41381
3639,41382
3640,41385
3641,41389
3642,41397
3643,41400
3644,41434
3646,41439
3647,41437
3648,41435
3649,41432
3650,41438
3651,41433
3652,41436
3653,41442
3654,41440
3655,41441
3656,41443
3657,41448
3658,41449
3659,41446
3660,41447
3661,41444
3662,41445
3663,41454
3664,41450
3665,41456
3666,41462
3667,41460
3668,41458
3669,41453
3670,41451
3671,41461
3672,41459
3673,41457
3674,41455
3675,41452
3677,41485
3678,41501
3679,41496
3680,41487
3681,41492
3682,41488
3683,41483
3684,41499
3685,41489
3686,41484
3687,41491
3688,41493
3689,41494
3690,41495
3691,41502
3692,41486
3693,41497
3694,41500
3695,41490
3696,41482
3697,41498
3698,41470
3699,41468
3700,41464
3701,41467
3702,41466
3703,41475
3704,41481
3705,41473
3706,41479
3707,41480
3708,41476
3709,41472
3710,41477
3711,41463
3712,41469
3713,41471
3714,41465
3715,41478
3716,41474
3732,42142
3733,42143
3734,42144
3735,42145
3736,42146
3737,42148
3738,42149
3739,42150
3740,42151
3741,42152
3742,42156
3743,42157
3744,42158
3745,42153
3746,42154
3747,42155
3749,42701
3750,42702
3767,41429
3792,44066
3798,44076
3799,44078
3800,44082
3801,44081
3802,44084
3803,44087
3804,44088
3805,44089
3861,45862
3862,45879
3863,45880
3864,45881
3865,45882
3866,45883
3867,45987
3879,49110
