DisplayId,ModelId,CreatureModelScale
1450,50,1
1451,27,0.85
1452,27,1.1
1453,27,1.3
1454,27,0.85
1455,187,1
1460,187,3
1461,188,3
1466,49,1
1467,133,0.6
1468,130,0.8
1469,50,1
1470,50,1
1471,50,1
1472,50,1
1473,50,1
1474,50,1
1477,50,1
1478,185,1
1479,186,1
1480,50,1
1481,50,1
1482,50,1
1483,50,1
1484,49,1
1485,49,1
1486,49,1
1487,49,1
1488,49,1
1489,49,1
1490,49,1
1491,49,1
1492,49,1
1493,49,1
1494,49,1
1495,50,1
1496,50,1
1497,50,1
1498,50,1
1499,49,1
1500,49,1
1501,49,1
1502,49,1
1503,49,1
1504,49,1
1505,49,1
1506,49,1
1507,49,1
1508,49,1
1509,49,1
1510,49,1
1511,49,1
1512,49,1
1513,49,1
1514,49,1
1515,49,1
1516,49,1
1517,49,1
1518,49,1
1519,53,1
1520,50,1
1521,50,1
1522,50,1
1523,50,1
1524,49,1
1525,49,1
1526,50,1
1527,55,1
1528,55,1
1529,190,0.7
1531,65,1
1532,191,1
1533,191,0.9
1534,192,1
1535,192,0.85
1536,192,1.15
1537,191,0.85
1538,191,1
1539,191,1.15
1540,191,1.1
1541,49,1
1542,55,1.2
1543,56,1
1544,50,1
1545,195,1
1546,50,1
1547,197,1
1548,198,1
1549,2,1.3
1550,164,0.9
1551,199,1
1552,128,1
1555,199,2
1556,199,1.5
1557,193,1
1558,105,1.05
1559,105,1.05
1560,114,0.75
1561,91,1
1562,57,1
1563,182,1.15
1564,183,1.15
1565,57,1
1566,331,1
1567,53,1
1568,53,1
1569,53,1
1570,53,1
1571,50,1
1572,53,1
1573,49,1
1574,57,1
1575,57,1
1576,57,1
1577,57,1
1578,57,1
1579,57,1
1580,57,1
1581,57,1
1582,57,1
1583,57,1
1584,57,1
1585,57,1
1586,57,1
1587,57,1
1588,57,1
1589,57,1
1590,57,1
1591,57,1
1592,58,1
1593,58,1
1594,58,1
1595,49,1
1596,53,1
1597,53,1
1598,53,1
1599,57,1
1600,57,1
1601,58,1
1602,57,1
1603,58,1
1604,57,1
1605,57,1
1606,57,1
1607,58,1
1608,54,1
1609,137,1.1
1610,40,0.75
1611,49,1
1612,50,1
1613,49,1
1614,49,1
1615,50,1
1616,49,1
1617,49,1
1618,49,1
1619,51,1
1620,54,1
1621,49,1
1622,53,1
1623,53,1
1624,59,1
1625,53,1
1626,53,1
1627,53,1
1628,53,1
1629,53,1
1630,53,1
1631,57,1
1632,58,1
1633,58,1
1634,58,1
1635,57,1
1636,58,1
1637,58,1
1638,57,1
1639,58,1
1640,50,1
1641,49,1
1643,311,1
1644,57,1
1645,58,1
1646,57,1
1647,57,1
1648,57,1
1649,57,1
1650,53,1
1651,54,1
1652,51,1
1653,51,1
1654,51,1
1655,53,1
1656,53,1
1657,53,1
1658,50,1
1659,49,1
1660,57,1
1661,57,1
1662,49,1
1663,53,1
1664,49,1
1665,53,1
1666,57,1
1667,59,1
1668,53,1
1669,57,1
1670,54,1
1671,53,1
1672,53,1
1673,53,1
1674,53,1
1675,53,1
1676,53,1
1677,53,1
1678,59,1
1679,58,1
1680,57,1
1681,56,1
1682,56,1
1683,53,1
1684,53,1
1685,53,1
1686,203,1
1687,203,1
1688,49,1.15
1689,49,1
1690,49,1
1691,50,1
1692,50,1
1693,156,1.45
1694,49,1
1695,49,1
1696,49,1
1697,50,1
1698,204,0.75
1699,49,1
1700,56,1
1701,55,1
1702,56,1
1703,55,1
1704,55,1
1705,56,1
1706,55,1
1707,56,1
1708,56,1
1709,55,1
1710,56,1
1711,55,1
1712,55,1
1713,49,1
1714,56,1
1715,49,1
1716,56,1
1717,56,1
1718,55,1
1719,56,1
1720,49,1
1721,56,1
1722,55,1
1723,56,1
1724,49,1
1725,55,1
1726,56,1
1727,56,1
1728,56,1
1729,55,1
1730,56,1
1731,49,1
1732,55,1
1733,56,1
1734,49,1
1735,51,1
1736,49,1
1737,49,1
1738,49,1
1739,49,1
1740,49,1
1741,49,1
1742,75,0.55
1743,50,1
1744,34,0.7
1745,50,1
1746,34,0.7
1747,34,0.85
1748,49,1
1749,81,0.75
1750,56,1
1751,81,0.85
1752,133,0.6
1753,49,1
1754,133,0.75
1755,31,0.9
1756,49,1
1757,55,1
1758,49,1
1759,185,1
1760,186,1
1761,31,1.15
1762,31,1
1763,31,1.5
1764,53,1
1765,49,1
1766,54,1
1767,49,1
1768,50,1
1769,49,1
1770,55,1
1771,55,1
1772,62,2
1773,31,2
1774,53,1
1775,53,1
1776,53,1
1777,53,1
1778,53,1
1779,53,1
1780,53,1
1781,53,1
1782,53,1
1783,53,1
1784,53,1
1785,53,1
1786,54,1
1787,53,1
1788,53,1
1789,53,1
1790,53,1
1791,54,1
1792,53,1
1793,54,1
1794,53,1
1795,53,1
1796,53,1
1797,53,1
1798,53,1
1799,54,1
1800,53,1
1801,53,1
1802,53,1
1803,53,1
1804,53,1
1805,53,1
1806,53,1
1807,53,1
1808,53,1
1809,53,1
1810,53,1
1811,54,1
1812,54,1
1813,53,1
1814,58,1
1815,50,1
1816,133,1.3
1817,172,1.3
1818,172,0.7
1819,172,0.55
1820,53,1
1821,53,1
1822,53,1
1823,49,1
1824,207,1
1825,207,1
1826,49,1
1827,49,1
1828,58,1
1829,57,1
1830,49,1
1831,57,1
1832,182,1
1833,49,1
1834,53,1
1835,53,1
1836,51,1
1837,53,1
1838,57,1
1839,54,1
1840,50,1
1841,54,1
1842,50,1
1843,54,1
1844,53,1
1845,53,1
1846,53,1
1847,53,1
1848,53,1
1849,53,1
1850,54,1
1851,53,1
1852,54,1
1853,50,1
1854,55,1
1855,50,1
1856,50,1
1857,50,1
1858,49,1
1859,49,1
1860,49,1
1861,49,1
1862,50,1
1863,49,1
1864,49,1
1865,49,1
1866,51,1
1867,51,1
1868,52,1
1869,51,1
1870,51,1
1871,51,1.1
1872,51,1.6
1873,30,0.7
1874,52,1
1875,52,1
1876,51,1
1877,51,1
1878,52,1
1879,52,1
1880,51,1
1881,51,1
1882,186,1
1883,51,1
1884,51,1
1885,51,1
1886,51,1
1887,123,1
1888,122,0.9
1889,182,1
1890,183,1
1891,53,1
1892,53,1
1893,53,1
1894,53,1
1895,55,1
1896,55,1
1897,186,1
1898,55,1
1899,55,1
1900,50,1
1901,49,1
1902,128,1
1903,128,1
1904,59,1
1905,60,1
1906,51,1
1907,52,1
1908,52,1
1909,51,1
1910,65,0.9
1911,65,1.1
1912,68,1.2
1913,139,1
1914,56,1
1915,56,1
1916,56,1
1917,194,1
1918,205,1.3
1921,67,1
1923,141,1
1924,142,1
1925,49,1
1926,49,1
1927,54,1
1928,49,1
1929,49,1
1930,182,1
1931,55,1
1932,56,1
1933,82,1.2
1934,210,1.15
1935,53,1
1936,209,1
1937,56,1
1938,132,0.85
1939,132,1
1940,172,0.55
1941,59,1.2
1942,60,1.2
1943,49,1
1944,49,1
1945,55,1
1947,44,1.15
1948,57,1
1950,43,1.1
1951,65,1.15
1952,65,1.3
1954,411,0.6
1955,411,0.45
1956,55,1
1957,56,1
1958,191,1.1
1959,34,0.7
1960,34,0.55
1961,38,1
1962,34,1.15
1963,145,1
1964,145,1
1965,57,1
1967,145,0.8
1968,53,1
1969,54,1
1970,53,1
1971,210,0.95
1972,210,0.9
1973,210,1
1974,75,0.85
1975,75,0.7
1976,185,1
1977,210,1.3
1978,82,1
1979,44,1.3
1980,56,1
1981,54,0.6
1982,56,1
1983,55,1
1984,49,1
1985,49,1
1986,170,1
1987,170,1
1988,141,1.75
1989,63,0.85
1990,83,1.3
1991,194,1
1992,194,1.15
1993,62,1.5
1994,31,1.15
1995,31,1.5
1996,8,1.3
1997,8,1.5
1998,8,1.6
1999,8,1.3
2000,8,1.4
2001,8,1.25
2002,8,1.5
2003,8,1.4
2004,8,1.45
2005,49,1
2006,57,1
2007,78,1
2008,78,0.9
2009,78,0.7
2010,78,1
2011,78,1
2012,78,0.85
2013,78,1
2014,78,1.15
2015,78,1.15
2016,78,1.1
2017,78,1.15
2018,78,1.3
2019,78,1.3
2020,78,1.5
2021,78,1.3
2022,2,1
2023,2,1.15
2024,2,1.3
2025,185,1
2026,59,1.2
2027,49,1
2028,81,1
2029,49,1.2
2030,202,0.7
2031,82,1.1
2032,49,1
2033,141,2
2034,56,1
2035,56,1
2036,54,1
2037,58,1
2038,50,1
2039,49,1
2040,49,1
2041,49,1.3
2042,49,1.2
2043,50,1.25
2044,49,1
2045,49,1
2046,57,1
2047,50,1
2048,49,1
2049,54,1
2050,58,1
2051,49,1
2052,49,1
2053,56,1
2054,56,1
2055,56,1
2056,56,1
2057,56,1
2058,56,1
2059,55,1
2060,55,1
2061,55,1
2062,55,1
2063,55,1
2064,55,1
2065,55,1
2066,55,1
2067,55,1
2068,56,1
2069,110,0.3
2070,49,1
2071,182,1
2072,49,1
2073,49,1
2074,49,1
2075,69,1
2076,1,1
2077,141,1.5
2078,141,2
2079,141,1.5
2080,49,1
2082,59,1
2083,59,1
2084,59,1
2085,59,1
2086,59,1
2087,59,1
2088,59,1
2089,59,1
2090,59,1
2091,59,1
2092,59,1
2093,59,1
2094,59,1
2095,59,1
2096,59,1
2097,59,1
2098,59,1
2099,59,1
2100,59,1
2101,59,1
2102,59,1
2103,59,1
2104,59,1
2105,59,1
2106,59,1
2107,60,1
2108,60,1
2109,60,1
2110,60,1
2111,60,1
2112,60,1
2113,60,1
2114,60,1
2115,60,1
2116,60,1
2117,60,1
2118,60,1
2119,60,1
2120,60,1
2121,60,1
2122,60,1
2123,60,1
2124,60,1
2125,60,1
2126,60,1
2127,60,1
2128,59,1
2129,59,1
2130,59,1
2131,59,1
2132,60,1
2133,60,1
2134,57,1
2135,57,1
2136,57,1
2137,57,1
2138,57,1
2139,57,1
2140,59,1
2141,59,1
2142,53,1
2143,12,1
2144,49,1
2145,49,1
2146,49,1
2147,49,1
2148,49,1
2149,49,1
2150,49,1
2151,49,1
2152,26,1.2
2153,26,1.3
2154,791,0.7
2155,791,0.85
2156,791,0.9
2157,791,1.1
2158,175,1.15
2160,25,1.1
2161,194,1.3
2162,12,0.85
2163,12,1.3
2164,12,1.4
2165,12,1.5
2166,12,1
2167,12,1.2
2168,141,1.75
2169,69,0.7
2170,69,0.85
2172,160,0.75
2173,1,0.55
2174,1,1.15
2175,1,0.85
2176,165,1
2177,178,1
2178,60,1
2179,191,0.85
2180,182,1
2181,49,1
2182,56,1
2183,56,1
2184,182,1
2185,212,1
2186,212,1
2187,212,1
2188,212,1
2189,212,1
2190,212,1
2191,56,1
2192,55,1
2193,198,1
2194,191,0.5
2195,191,0.65
2196,56,1
2197,56,1
2198,56,1
2199,56,1
2200,56,1
2201,56,1
2202,56,1
2203,56,1
2204,50,1
2205,56,1
2206,56,1
2207,56,1
2208,56,1
2209,56,1
2210,56,1
2211,56,1
2212,56,1
2213,56,1
2214,56,1
2215,56,1
2216,56,1
2217,56,1
2218,56,1
2219,56,1
2220,56,1
2221,56,1
2222,56,1
2223,56,1
2224,56,1
2225,56,1
2226,56,1
2227,56,1
2228,56,1
2229,56,1
2230,56,1
2231,56,1
2232,56,1
2233,56,1
2234,84,1
2236,81,0.3
2237,197,0.9
2238,197,0.5
2239,132,0.5
2240,310,1
2241,55,1
2242,55,1
2243,55,1
2244,55,1
2245,55,1
2246,55,1
2247,55,1
2248,55,1
2249,55,1
2250,55,1
2251,55,1
2252,55,1
2253,55,1
2254,55,1
2255,55,1
2256,55,1
2257,55,1
2258,55,1
2259,55,1
2260,55,1
2261,55,1
2262,55,1
2263,55,1
2264,55,1
2265,55,1
2266,55,1
2267,55,1
2268,55,1
2269,55,1
2270,55,1
2271,55,1
2272,55,1
2273,55,1
2274,55,1
2275,55,1
2276,55,1
2277,55,1
2278,82,0.4
2279,82,1.8
2280,176,1
2281,213,1
2283,53,1
2284,53,1
2285,53,1
2286,54,1
2287,49,1
2288,49,1
2289,214,1.2
2290,3,1.2
2292,3,1
2293,3,1.5
2294,12,1.15
2295,12,1.3
2296,12,1
2297,791,1.15
2298,791,1.3
2299,26,1.15
2300,82,1.3
2301,192,1.2
2302,69,1.25
2303,92,0.9
2305,61,1
2306,56,1
2307,173,1.15
2308,173,1.3
2309,1,0.75
2311,49,1
2312,49,1
2313,56,1
2314,49,1
2315,50,1
2316,49,1
2317,50,1
2318,49,1
2319,50,1
2320,217,1.2
2321,50,1
2322,49,1
2323,49,1
2324,49,1
2325,65,1
2326,217,1.2
2327,217,1.2
2328,217,1.2
2329,49,1
2330,50,1
2331,50,1
2332,49,1
2333,50,1
2335,49,1
2336,50,1
2337,49,1
2338,49,1
2339,50,1
2340,49,1
2341,50,1
2342,49,1
2343,49,1
2344,50,1
2345,49,1
2346,215,1
2347,49,1
2348,50,1
2349,50,1
2350,49,1
2352,73,2
2353,49,1.2
2354,49,1
2355,50,1
2357,49,1
2358,50,1
2359,50,1
2360,49,1
2361,49,1
2362,50,1
2363,53,1
2364,49,1
2365,50,1
2366,50,1
2367,50,1
2368,49,1
2369,49,1
2370,49,1
2371,49,1
2372,49,1
2373,49,1
2374,50,1
2375,50,1
2377,49,1
2378,83,1.3
2379,50,1
2380,49,1
2381,49,1
2382,49,1
