"ID","FromTaxiNode","ToTaxiNode","Cost"
"686","100","128","1020"
"687","128","100","1020"
"688","39","80","110"
"689","40","80","110"
"690","80","39","730"
"691","80","40","730"
"692","55","77","110"
"693","77","55","630"
"694","55","30","630"
"695","30","55","630"
"696","80","55","630"
"697","55","80","110"
"698","80","28","330"
"699","28","80","110"
"702","22","58","530"
"703","58","22","110"
"704","169","170","0"
"705","171","172","0"
"706","172","171","0"
"707","173","174","0"
"708","117","156","1020"
"709","156","117","1020"
"714","179","55","630"
"715","179","32","630"
"716","55","179","630"
"717","32","179","630"
"718","179","30","430"
"719","30","179","630"
"720","179","31","430"
"721","31","179","630"
"722","163","151","1020"
"723","151","163","1020"
"724","180","181","0"
"746","195","19","630"
"747","19","195","630"
"748","195","4","110"
"749","4","195","630"
"750","195","12","330"
"751","12","195","630"
"752","195","2","630"
"753","2","195","630"
"757","198","197","0"
"758","23","198","1"
"759","198","23","1"
"766","68","83","1020"
"767","83","68","1020"
"768","201","202","0"
"771","68","205","1020"
"772","205","68","1020"
"773","83","205","530"
"774","205","83","530"
"775","67","205","1020"
"776","205","67","1020"
"777","206","24","0"
"779","209","210","0"
"781","82","213","530"
"782","213","82","530"
"784","211","212","0"
"786","205","213","730"
"787","213","205","730"
"788","212","211","0"
"790","23","80","110"
"791","80","23","110"
"796","67","213","1750"
"797","213","67","1750"
"807","6","213","2775"
